,comment_author,star_rating,comment_date,comment_title,comment
14,Calvin Dean,1.0 out of 5 stars,"Reviewed in the United States on July 8, 2020",Appetite suppressant,  This is the absolute nastiest thing I’ve ever tasted in my life. It works great as an appetite suppressant due to the totally foul taste that is left in your mouth. I’d never buy it again but if you like the taste of fish that’s baked in the sun for 4 weeks this is for you!
15,GG Mclaughlin,5.0 out of 5 stars,"Reviewed in the United States on February 1, 2020",A great light snack if you like seaweed,"  These seaweed crisps make a wonderful grab a handful snack.  They are lightly salted, non greasy and a perfect cure for the munchies."
16,Mom2Babe,5.0 out of 5 stars,"Reviewed in the United States on July 25, 2020",Healthy snack!,  Healthy snack! Low calorie and good crunch!
17,stephanoe,3.0 out of 5 stars,"Reviewed in the United States on December 21, 2019",Good taste,  Good taste
18,Elizabeth,4.0 out of 5 stars,"Reviewed in the United States on March 14, 2020",Rice makes this snack sweet.,  Sweeter than I expected. ..
19,shameless shopper,5.0 out of 5 stars,"Reviewed in the United States on January 18, 2020",Delicious,  Healthy snacks
20,Serena Lok,5.0 out of 5 stars,"Reviewed in the United States on June 5, 2020",Love it,"  It is a little more expensive but it's really tasty.  Crunchy and thin, perfect for snacking. Would definitely buy it again."
21,Julia,5.0 out of 5 stars,"Reviewed in the United States on February 12, 2020",Great snacking food!!,  Loved this!! It was a great snacking food and a great alternative to popcorn when watching a movie :)
22,Brenda Barnes,5.0 out of 5 stars,"Reviewed in the United States on March 14, 2020",Will definitely buy more,  These are delicious
23,Elizabeth Miller,1.0 out of 5 stars,"Reviewed in the United States on August 11, 2020",Rosemary Oleoresin as an ingredient - be careful,"  I was very hopeful this snack would be wonderful. I liked them. Not terrific, but sort of what is expected when you combine seaweed, salt, rice crackers, and sugar. My objection is about 20 minutes after having a handful I was very hot. And I recalled how there is an odd aftertaste, reminiscent of MSG on the tongue. I checked the ingredients. No MSG. But it does list Rosemary Oleoresin. I Googled this additive and found this: Rosemary Oleoresin is a circulatory and nerve stimulant. Interesting. I definitely did not like the hot flushed sensations and won't be buying this again."
24,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on March 28, 2019",Delish,"  I have tried many brands of seaweed snacks over the years and I usually buy them when I want to try ""healthy snacking"" but don't stick with them for long. I bought these expecting to abandon them after a few servings, but something about these are different...they are addicting. I don't know what it is, but these are just so dang good. Just the right amount of salt, crispness, and the ""ocean-y"" aftertaste is goes away pretty quickly. I knew something was superior about these seaweed snacks when I was eating kettle chips and felt unsatisfied because I wanted these seaweed snacks instead. I'm going to buy more!"
25,Cheryl Erickson,1.0 out of 5 stars,"Reviewed in the United States on November 18, 2018",DO NOT WASTE YOUR MONEY - BUY IN STORE!,"  This is a better deal ounce per ounce, pack for pack, any way you look at it it’s a better deal TO BUY THIS IN STORE!!! There were like 5 seaweed sheets PER PACK!! Never will purchase again!"
26,the buudha,5.0 out of 5 stars,"Reviewed in the United States on December 28, 2019",received the bad batch,  Looovvee these! Much better than the Costco / Kirkland brandUpdate: Received a new batch which was oily and rubbery. Not like any of the previous patches that I've received.  Contacted Amazon about it waiting for a responseUpdate 2:. Amazon sent out a new batch after this review.  It arrived pretty much the next day - it was much better!
27,Interliner,4.0 out of 5 stars,"Reviewed in the United States on April 22, 2020",Ok but Watch Out For Silicone Beads,  I love seaweed and this tastes alright: Check each pack before you eat Each pack contains a small pack of silicone beads at the bottom  for freshness. I was eating this and suddenly bit on something hard. It turns out the little silicone pack had a hole in it and the beads were on the seaweed. I hate that I ate some of the beads before I realized what I was eating.
28,Cynthia Smith,1.0 out of 5 stars,"Reviewed in the United States on March 23, 2020",Allergen information changed,"  I have ordered these several times. Loved them. But this time, they are listed as being made in shared equipment with soy and sesame- in which I am both allergic to. And this is not updated on the listing. Waste of money."
29,Amazon Customer,1.0 out of 5 stars,"Reviewed in the United States on September 30, 2019",Sorry..hated them,  Don't understand the good reviews...they were disgusting.  The whole pack went in the garbage.  I bought them because sea weed was recommended as a healthy snack. Ate first pack and hated them.  Decided to try a second pack to be fair and they were no better.  If there is a sea weed item that is better would love to know it.  My stomach didn't like this one...
30,Irene Peterson,1.0 out of 5 stars,"Reviewed in the United States on October 22, 2019",pretty discusting,"  terrible flavor and aftertaste, very fishy!. Tried a couple and that was it. Now I have 19 packages of disgusting product. Don't believe I can return these. Was so hoping these would be helpful on keto diet but I cannot stomach these. Can't understand why they got pretty good reviews."
31,E. Morris,5.0 out of 5 stars,"Reviewed in the United States on January 20, 2020",GREAT price,  I was paying $1.99 for a single one of theses! Was worried that he hear would he out of date or something because the price was so low...like $1.25 less per pack! But they aren’t stale. They are just like what I’ve been buying just much less expensive!
32,Keith Ong,5.0 out of 5 stars,"Reviewed in the United States on May 10, 2020","Best thing i can say, 'It tastes like seaweed'. Worse thing i can say, ""'It tastes like seaweed'.","  Instead of heading to the local H-Mart (Korean supermarket chain in US) just to pickup seaweed, I decided to look and buy it online. I was concerned after reading some reviews and wondered whether or not there was going to be any difference between this brand and the ones we normally purchase. As my 9 year old was taste testing it, I asked how does this compare to all the other brands we buy.  The reply was, 'It tastes like seaweed'.  Happy to say, kid approved. Just to be sure I grabbed a slice and sure enough, it tastes just like all other brands we have bought. Would I buy it again? I just did!"
33,Judi,5.0 out of 5 stars,"Reviewed in the United States on October 15, 2019",The Best Seaweed,"  They are the best seaweed I have bought. There are 20 small packs in each bag and about 10 pieces in each small package . They are a little greasy (from the sunflower oil) but I guess that's why they are so good. Since each package has only 25 calories, who cares! They are from Korea but packaged in American/California (with all the information in English) and totally organic and a great bargain."
34,Cindy Kerwin,2.0 out of 5 stars,"Reviewed in the United States on April 18, 2020",Flavor is good but SO MUCH SALT!,"  I would've given these 5 stars but OMG - all the salt! I can literally see big coarse ground chunks of salt all over each piece! And its not just a little salt, it covers each piece. I tried to brush it off but that doesn't work with such a thin flimsy piece of seaweed. I have high blood pressure so I stay away from salt, which is ok because I'm fond of it to begin with. I usually buy Seasnax toasted onion which I LOVE! (no chunks or visible salt on theirs) I thought I would stray and try a new brand and came up wanting. If they got rid of all the salt, I would probably buy again, but now I'm just stuck with a bunch of snacks I can't eat."
35,DJ,5.0 out of 5 stars,"Reviewed in the United States on July 15, 2020",I didn't think I would like it.  Quickly acquired taste.,"  I am addicted to this stuff even though I thought I was crazy for buying it.  The first few sheets tasted kind of funny because I never liked the smell of seaweed, but I got through it because of the salt and the teriyaki sauce.  Then I started to crave more.  The texture takes your mouth on journey.  The seaweed first starts out crispy like a chip, then it quickly hits the saliva and then feels like a wet, very thin piece of paper.  Then it gets slightly chewy like beef jerky.  Then out of no where, the sheet disappears.  Ha!  I love how it only has one carb per package.  I usually eat 2-3 packages per sitting.  I need to look for a version that has larger servings."
36,N,3.0 out of 5 stars,"Reviewed in the United States on July 13, 2019",Less Flavorful than Any other Seaweed Snacks,"  Wow!  Considering the popularity of this brand, I never would have guessed I'd find myself writing this review.  Great texture but I seriously thought that I had been sent the wrong kind - I ordered sea salt and would have guessed it was the olive oil flavor.  Maybe I got a bad batch.  It's funny because I had just tried another brand and thought they weren;t flavorful but oh boy do they shine in comparison to these.  Good in soup, though."
37,Wili1,5.0 out of 5 stars,"Reviewed in the United States on March 27, 2020","25 calories per packet, good price","  These make wonderful snacks especially if you’re craving a little salt as they are a bit salty.  You might find yourself drinking more beer or other beverages while eating these.  (Just like when you eat pretzels or chips at a bar).  The size is perfect for a box or bag lunch but I always wish I had more sheets of nori (the seaweed) once I reach the bottom of the packet.  They’re addictive!  At 25 calories and a single serving per package, it seems that it’s be a good food to eat during a diet.  The inner clear container is recyclable (I can see the recycling symbol on it but can’t read what type of plastic it is.  I think it may be in Asian letters). I like to keep a couple in my car for snacks on-the-go.  At 62 cents a package, it’s at least half the price I’d pay at the grocery store and that’s when it’s on sale."
38,M.C.,1.0 out of 5 stars,"Reviewed in the United States on March 1, 2018",Stale,"  More like terriyucki, Very stale."
39,Abby Mendonca,5.0 out of 5 stars,"Reviewed in the United States on October 6, 2019",I love them,"  Delicious! I’ve been doing keto for a while know and these are crispy, and yummy and low carb and calorie. I can’t get enough (obviously I order the 20 pack). They satisfy and are so easy to take with me. I eat at least 1 pack a day. Also, the FLAVOR is AMAZING. They are so salty and tangy and taste so good. I get excited when it is finally time for me to eat them and have to hold back from eating them right after breakfast. I think this is the best flavor, but sesame and sea salt are good as well."
40,Kia Smiaz,5.0 out of 5 stars,"Reviewed in the United States on April 12, 2019",Great taste,  Delicious and crispy. My kids devour them. Can’t keep up. I just wish so much plastic wasn’t wasted. Each set is in its own individual plastic box. Not necessary. I’ve bought seaweed strips that come in flat packaging and they were great. Once in a while stuck together but worth not wasting so much plastic.
41,MyssLynx,5.0 out of 5 stars,"Reviewed in the United States on May 27, 2020",Yummy!!,  These are so good! I couldn’t stop eating them. I was having 5 packs in a sitting!! I just felt bad about all the packaging. I wish there was a bigger container of them so I didn’t have all that plastic.
42,TexasFeedBack,5.0 out of 5 stars,"Reviewed in the United States on December 1, 2019","Healthy snack, plenty of packs in one box, enough to share with friends","  Either you like seaweed or you don't Texture of this product is smooth, taste is fair. Nothing wrong with it.Plus imagine the health benefits of seaweed. Plenty of individual packs in this lot so was able to share some with friends and co-workers who like seaweed too."
43,Rob,5.0 out of 5 stars,"Reviewed in the United States on April 18, 2020",hide from your wife or you won't get any,  well I bought some for myself and my girlfriend ate it all so I guess it was good I don't know im giving it 5 stars because it was gone in 2 days so it must've been good.
44,Bruno Devlin,1.0 out of 5 stars,"Reviewed in the United States on December 11, 2019",Nasty Fishy aftertaste,  So sorry I ordered this product.  It is absolutely nasty with a bad fishy aftertaste that will stay with you for hours.  Would not recommend this product to anyone especially for some child to take to school as a snack - OMG!
45,MiaBella,1.0 out of 5 stars,"Reviewed in the United States on April 30, 2020",Gross and made in same place as SOY products,  These smell gross plus I can not eat them due to my soy allergy. They should really make it known they are made in the same factory as soy products. Now its a waste of money. My husband can not stomach them. They are thin like a Listerine breath strip.  So the nasty fishy taste gets absorbed all over your tongue. He had to brush and use mouthwash to get the taste out.We had other seaweed products and they did not taste nor smell like this.
46,JSmith,5.0 out of 5 stars,"Reviewed in the United States on July 13, 2020",Delicious Healthy Snack,"  I avoid high carb, due to the spike in energy. But too many nuts are way too high in calories because I am also trying not to gain weight and if possible would prefer to lose some. So what snacks are low carb and low fat? These are healthy for the thyroid, so I chose this one.  The kids also like them, and I ordered more. It is now part of my subscribe-and-save."
47,Sundance Wilson,5.0 out of 5 stars,"Reviewed in the United States on June 27, 2020",More please,"  Seaweed + sea salt... how can you go wrong?! I love these snacks and our house goes through them quickly. Great flavor and alway airtight packaging. Which, I wish there wasn’t so much plastic packaging in these (I eat two at a time), so I’m a little disappointed with that, but overall, I can’t get enough!!"
48,Jenna S.,3.0 out of 5 stars,"Reviewed in the United States on May 18, 2020","Great snacks, but price drastically changes","  When I first bought this, it was half the price at our grocery. So this is definitely better value on Amazon. A bit disappointed though that it has gone up by $5 in a just a few weeks.Overall, these are yummy and healthy snacks. Every now and then, you get an oily pack, but generally most are just right."
49,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on February 29, 2020",Teriyaki flavor is great!,"  I've been eating roasted seaweed for a couple years (mostly Jayone) - it's great when I feel like eating something but am not particularly hungry, as it's very low in calories and won't make me feel stuffed.I'd gotten kind of tired of the standard salted flavor so this teriyaki version is a great treat! It has a pronounced teriyaki flavor, and at least on the first day of eating it the seaweed was crisp and tasted fresh (as fresh as one can expect from dried seaweed - point is, it wasn't rancid).Significantly more expensive than Jayone, but they don't make teriyaki."
50,KLDH,5.0 out of 5 stars,"Reviewed in the United States on July 15, 2020",Addicting!,"  Now when I first tried these I was a bit skeptical because I have never had a seaweed snack before so the flavor was very different for me.  The more I continued to eat the pack, the more hooked I became!  Now I absolutely love them and they have pretty much replaced my potato chips as a snack.  The saltiness and crunch is mainly what I enjoy when I have chips so this is a much healthier alternative.  I will continue to buy these little bundles of goodness!!"
51,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on December 3, 2018",Great,"  This is the best tasting olive oil seaweed I’ve ever had. I was about to order a few more, when I noticed the huge price increase. Now I’m looking for a new brand. If the price drops back down, my co-workers & I will definitely order a lot more."
52,Sand Box,5.0 out of 5 stars,"Reviewed in the United States on January 15, 2020",The teriyaki flavor is delicious & low in Weight Watchers points!,"  This was a spontaneous purchase, I bought the teriyaki flavor & they are great! A package only has 1 Weight Watchers point for those who follow WW, this is a very good thing. Low in sodium & good for you. Organic too. They are tasty & addicting! I have tried other seaweed products & not liked them, but I love these."
53,J. Haley,1.0 out of 5 stars,"Reviewed in the United States on February 4, 2020",Not the snack I had hoped for,"  I had hoped to eat these as a snack but they were truly awful. After the first bite, I didn't want to eat another bite. I forced myself to continue eating but they still did not get any better. Would certainly not buy these again in the future."
54,Paula,5.0 out of 5 stars,"Reviewed in the United States on March 31, 2020",Best Seaweed Snack I've Tried,"  I just ordered another package of gimMe Organic Roasted Seaweed - Teriyaki --even though I haven't finished enjoying my current order. I love the taste of this seaweed product --I've tried a few different brands and flavors, but I like this one the best. The slight sweetness with a bit of salt and extra flavoring makes it hard to resist. I usually eat two packages when snacking rather than just one. Fortunately, it is very low in calories."
55,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on September 3, 2019",Great tasting product!,"  Great Product!  I get my idodine from this source!  Tasty teriyaki flavor, and I hate fishy smells and tastes, so this is wonderful! I get two each time I order, and it’s only $30.00 something!  Great product!  Bad side!  I’m tired of The delivery company, leaving it on the driveway instead of the porch!  Lazy!"
56,Stacie,5.0 out of 5 stars,"Reviewed in the United States on April 4, 2020",Delicious!,"  I use this flavor to make spam masubi wraps and it is the perfect size.  Teriyaki flavor is our families go-to for snacking, but these are great if you don't want the sweet or the little bit of oily texture from that one.  Super crunchy!"
57,Allie C,5.0 out of 5 stars,"Reviewed in the United States on April 7, 2020",Great value and great taste!,"  These are delicious! The picture makes the packs look kind of small, but they're actually pretty large. You get a lot of value especially for the price! If you've never had seaweed before, these feel a bit like paper in your mouth until they start to dissolve. Once you get used to it they're a really delicious snack! And they're definitely better for you than a lot of other tasty snacks."
58,Candace Derr,5.0 out of 5 stars,"Reviewed in the United States on July 10, 2020",So addictive!,  I've tried seaweed snacks before but they were always reminiscent of licking the bottom of an overcrowded & unfiltered fish bowl.. I happened to see these in the store & since they weren't expensive I gave them a try. So glad I did! *Bearing in mind that at this point I've only tried the teriyaki kind* I do wish that there was a version with the same flavor but without the sugar but they taste so good. Hopefully I'll get accustomed to the fishyness & will be able to branch out to other even non-flavored kinds.
59,Chioma,5.0 out of 5 stars,"Reviewed in the United States on June 26, 2020",Prefer the original,"  I personally prefer the original, this one is less salty. It came in good condition and doesn’t taste bad., but I just prefer it saltier."
60,Randy,5.0 out of 5 stars,"Reviewed in the United States on March 15, 2020",Great afternoon snack,  I really like the healthy alternative aspect for a snack that this provides. The flavor is good. The package size is good. The only complaint I have is that my 10 year old doesn't care for it.
61,hot cereal lover,5.0 out of 5 stars,"Reviewed in the United States on July 23, 2020",Love!,  Nice smooth tasting seaweed...no fishy taste...I have  other weird friends who have come to visit and enjoy a cup of licorice tea and seaweed!
62,Krystal,4.0 out of 5 stars,"Reviewed in the United States on July 26, 2020",Delicious!,"  Delicious! Quickly becoming my favorite flavor of seaweed. Used my lighter as a size comparison as most people can get a hold of a standard size lighter. Comes with 10 sheets per packaging, very low carb 2g per package. I live in NY and got it in less than 2 days."
63,Ayanna,5.0 out of 5 stars,"Reviewed in the United States on April 23, 2020",Sooo damn good,  Omg I freaking love these things I eat them all the time. I’m not sure why people are complaining about the smell being fishy it’s from the sea what do u expect ? Lol there good
64,T.M. Reader,4.0 out of 5 stars,"Reviewed in the United States on May 25, 2020",Slightly weaker on flavor,"  These gimMe seaweed snacks are good.  They are fresh and crisp out of the package (packaged like all the others in the little plastic tray).  The flavor is milder than other brands I've tried . . . less bold and ""fishy"", less salted.  I prefer the bolder flavor.  They are good, but not my favorite."
65,D. Bruce,5.0 out of 5 stars,"Reviewed in the United States on August 9, 2020",I love these!,"  I love these so much I ordered another 20 packages shortly after I got the first.  It really satisfies, in a low carb and low calorie way, my wanting something to munch on during the day when I'm not eating.  I like the flavor and you get a lot of little sheets for 25 calories."
66,J Adame,5.0 out of 5 stars,"Reviewed in the United States on May 26, 2020",Snack on the Go?,"  I forgot i order them to start eating more healthier snacks on the go; it came on the Friday like it said it would but around 11 am. Over all the packing had no damage, the snacks individual covering was okay also. The freshness was a bit off a little because the Texas heat can do that to forgotten snacks waiting outside your door. Not a lot salt if you are worried about it, but be careful opening the little packet it can get messy at times. It might not be your type of snack if you don't like thin kinda slippery textures in your mouth. No pictures due to I went little crazy planning out my meals for the upcoming days. :)"
67,Ana,5.0 out of 5 stars,"Reviewed in the United States on April 24, 2020",They are delicious and super healthy,"  I love those! They are so addicting but do not worry because they are super healthy! The only thing that kinda bothers me is the packaging, seems a little bit too much plastic. That just made me find ways on how to recycle it and reuse the plastic box that holds them! Bottom line is just ty them out, the teriyaki ones are the best I would say"
68,Bear,5.0 out of 5 stars,"Reviewed in the United States on October 25, 2019",Crispy and fresh seaweed,  These are a delicious alternative to chips.  I am not a junk food junky so I am thrilled today find seaweed snacks with olive oil.  I think they are very good.  I have bought numerous orders.
69,Otcp99,1.0 out of 5 stars,"Reviewed in the United States on July 1, 2020",New least favorite food.,"  It takes a lot to gross me out, bravo you did it. The flavor has a dirty aquarium taste with a side of fish. What made it worse was it sticks to the roof of your mouth and you can't spit it out. Hope it was a bad batch and others have a better experience with it."
70,k9doc1,2.0 out of 5 stars,"Reviewed in the United States on June 26, 2020",Not up to Par....!,"  Some packages were missing desiccants, evidence of poor QA/QC.  The quantity of sea lavers in each pack were very little and not too flavorful. In my honest opinion, COSTCO/Kirkland ones are much better quality, flavors, and value for the money."
71,Sanka,5.0 out of 5 stars,"Reviewed in the United States on August 9, 2020","Not the best price, but a delicious product","  Here's the thing... This is just roasted seaweed. It tastes the same as the big packs that are cheaper at a local Oriental grocery store.The packaging is a bit excessive but useful for snacks to take on-the-go.I have heard that organic versions are supposed to contain less heavy metals and other things that can be found in regular seaweed, but I don't see any issue in myself or others that eat non-organic ones as well.Tastes great!"
72,Leahkgarland,2.0 out of 5 stars,"Reviewed in the United States on May 6, 2020",Not what I was expecting,"  Taste like fish, but not in a good way. Hoping I can get my Iodine another way, not sure what to do with the rest of these 19 packs of seaweed :( UghI feel like the other people who wrote the reviews had no taste buds. I love sushi and eating healthy, but even I have my limits."
73,Alfred V. Whiting II,2.0 out of 5 stars,"Reviewed in the United States on May 14, 2020",Awful taste. Oily.,"  Ordered the 20 pack with a subscription hoping they’d be similar to a brand I regularly purchase at Walmart. The ingredient list is ideal, organic seaweed, oil, and sea salt but they have very little to no flavor. They also seem to have an oil sheen on them and an aftertaste that I’m not used to. I canceled my subscription immediately after trying them and I’ll be contacting amazon to return them if possible ASAP"
74,Matthew,3.0 out of 5 stars,"Reviewed in the United States on January 6, 2020",Taste ok,"  I use this seaweed to roll poke. It tastes ok, and rarely I get any crushed ones. The price is good, but you can find better options for sure"
75,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on May 26, 2020",Perfect for sesame allergies!,"  Great stuff! Most korean nori contains sesame oil, so if you have a sesame allergy, it can be difficult for you to find seaweed that you can eat. This seaweed is perfect for sesame allergy sufferers. Japanese nori might be another good alternative."
76,Kathleen S.,5.0 out of 5 stars,"Reviewed in the United States on March 21, 2020",I have a pack every day,"  Most economical way to buy these snacks, they are always crisp with just the right saltiness, an addicting snack!"
77,Brooke,5.0 out of 5 stars,"Reviewed in the United States on July 15, 2020",I recommend,"  Ok I love seaweed snacks but these are really good for some reason. Must be the perfect amount of salt or the right amount of crisp. You'd think they'd all taste the same. Anyway, these are really good. I recommend."
78,Alexandra Martens,5.0 out of 5 stars,"Reviewed in the United States on April 17, 2020",Good!,  I usually purchase from Costco because they have the best seaweed but this is definitely a close-second! I don't know why it has bad reviews because I think it's really good!
79,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States on June 13, 2020",Sea salt for the win!!,"  I have tried sooo many seaweed brands. My kiddos and I love sushi! I wasn’t sure what to expect with the sea salt to be honest. I thought it would be too salty but let me tell you... this is the greatest seaweed snack we’ve ever had! It almost melts in your mouth, pairs so well will rice and some eel sauce. My kids go through a pack each and still want more! Will definitely be buying more!"
80,Torre,5.0 out of 5 stars,"Reviewed in the United States on July 12, 2020",Love these seaweed snacks!,  These are my daughter’s and my favorite flavor of seaweed snacks. They are crispy and a little bit salty/sweet. The only wish there were more in a pack! We are addicted and get a shipment every month with subscribe and save.
81,jtalbert_23,5.0 out of 5 stars,"Reviewed in the United States on July 24, 2020",LOVE this flavor seaweed,  LOVE this seaweed. The teriyaki flavor is super yummy and this is a great price for the amount of seaweed you get. Already have purchased twice and will continue to purchase.
82,Kindle Customer,5.0 out of 5 stars,"Reviewed in the United States on June 20, 2020",Delicious and easy!!,  These are a favorite go to for my whole family! Even the kids like them!! There are multiple flavors.. So far we have liked all of the ones we have tried. They are easy to throw in your bag and go!Enjoy!
83,Amazon Customer,3.0 out of 5 stars,"Reviewed in the United States on May 6, 2020",about 20% of each package is soggy/stale,"  I like these, but there are always a few packages that are too oily or stale or something"
84,Phelps,5.0 out of 5 stars,"Reviewed in the United States on May 29, 2020",My toddler is addicted to these!,  My toddler (and the adults in the house) love these. They are slightly less salty than most other brands I have tried but thats a good thing for us and she doesnt seem to mind at all. We will be buying again!
