score,title,author,date,comment
5,Organic Seaweed Snacks Review,"Leah S.,",03-Mar-20,"Loved the Flavor options. For those of us that like seaweed, this was both practical and tasty! Seaweed is an amaZing superfood! Packed with essential, easily absorbed vitamins, eating this tasty snack is both rewarding and guilt-free [This review was collected as part of a promotion.]"
4,Organic Seaweed Snacks Review,"Christina W.,",05-Feb-20,"I loved the seaweed snacks, they weren't too salty, which I had been concerned about. It was the perfect ""on-the-go"" snack. Portable, lite, just that right something I need/want after lunch, before dinner. I would absolutely recommend this product to friends/family. [This review was collected as part of a promotion.]"
4,Organic Seaweed Snacks Review,"Paige P.,",10-Jan-20,"I did enjoy this snack in the afternoon after lunch. I do like the flavor, but does taste a little dry. I do see myself purchasing this snack maybe one a month, because it is a lot healthier than what I normally snack on. [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"Patricia C.,",29-Jan-20,I purchased the Maui onion seaweed snacks which were amazingly pleasant there was no strong salty taste they were light and quite tasty. I was quite pleased with this product compared to the others that I've had and I would definitely buy these again. [This review was collected as part of a promotion.]
5,Organic Seaweed Snacks Review,"Lisa M.,",05-Feb-20,"I never tried seaweed before this so I purchased the regular flavor, sea salt. It's actually quite tasty. Definitely a unique texture but something I got used to rather quickly. Such a yummy and healthy snack! [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"Kimberly C.,",05-Jan-20,I loved them. Oh my goodness. I would definitely recommend all to buy these. Very tasteful and salty. Great snack when you need something immediately. Eating it with your meals was convenient. Got this product free. Thank you #socialnature #trynatural #gotitfree [This review was collected as part of a promotion.]
4,Organic Seaweed Snacks Review,"Christy H.,",10-Dec-19,These are very tasty. I love the Chili Lime flavor it adds some zing to a healty snack. I am always looking for healthy savory snack options. It would be nice if they were avaiable in more stores that I frequently shop at. [This review was collected as part of a promotion.]
5,Organic Seaweed Snacks Review,"Carrie S.,",23-Jan-20,"What a great snack! I loved the flavors and texture of the seaweed snacks. Although the bacon flavor wasn't my favorite, it wasn't terrible and I still enjoyed the snack. My favorite flavor was the sea salt. It had a perfect seasoning of sea salt and the perfect crunch and not overwhelming taste of fishy flavor. I love how thin the snack sheets are as well. Overall I was very happy with this snack and have purchased several times since trying my free sample. I'm a fan! [This review was collected as part of a promotion.]"
4,Organic Seaweed Snacks Review,"Tracy C.,",10-Feb-20,I never actually tried seaweed before. To my surprise I liked it but the most appealing aspect was I felt like I was doing my body a favor when eating it. I definitely will buy it. I love finding things that are convenient to snack on and good for you. My kids are tough and because of how it looked refused to have anything to do with it. My one suggestion would be if you could alter the color to make it more appealing to children. [This review was collected as part of a promotion.]
4,Organic Seaweed Snacks Review,"Jackie B.,",14-Jan-20,Oceans Halo Organic seaweed snacks were totally like nothing I have ever tried. The sea salt flavor ones have a great taste. It was something with alot of flavor but alot of texture also. It may not be for everyone.But its worth a try. [This review was collected as part of a promotion.]
5,Organic Seaweed Snacks Review,"Martin H.,",12-Dec-19,"I like the seaweed snacks because they were fresh, had a nice crunch, and the flavors were really good. I like having a variety of flavors, since I've never had flavored seaweed like this before. So tasty [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"Marta Z.,",12-Dec-19,The oceans Halo seaweed snack that I received free for review was absolutely delicious. I have never had a snack like that. It was salty and crunchy just like a potato Chip but definitely healthier lighter and with less calories. I have returned to buy some more and will continue doing so.#trynatural#gotitfree [This review was collected as part of a promotion.]
5,Organic Seaweed Snacks Review,"Miriah O.,",02-Jan-20,"These are seriously my new favourite snack. They're salty, crunchy, and light. I wasn't sure at first if I would actually like seaweed...because who does? After the first taste I fell in love. I can snack guilt free on these things. [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"Marisa S.,",19-Feb-20,"Great, I love them! They taste great and I love the benefits of seaweed. This is fun to try seaweed on the go, as I usually eat it hot. Great product to try, well worth the price! Although I will disclose that I received this for free to try [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"Shirley D.,",29-Dec-19,I really enjoyed this Halos Seaweed Sea salt snack. This snack was replaced with another high sugar snack and I must admit it was very delicious and more of a healthy option. I would most definitely be trying the other flavors and buying this one often. [This review was collected as part of a promotion.]
5,Yummy snack!,"Beth1981,",14-Dec-19,"This is my favorite go to snack! Love these and I buy at least four packs a week. Has the perfect amount of sea salt for taste and a nice crunch to satisfy! I can’t speak for other oceans halo flavors, but I can say I’m hooked on these sea salt ones."
5,Organic Seaweed Snacks Review,"Penny Z.,",15-Dec-19,"I didn't know what to expect when I first got these but after it hit my tongue, I was in love. I love that it's seaweed and healthy. I could use these for the holidays or anytime. Thanks for letting me have the opportunity to try these.#trynatural #gotitfree [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"SHANNON H.,",12-Dec-19,"I was totally intrigued by these little snacks and they did not disappoint!! Flavor was everything you would expect, crunchy and delicious. Being vegan but craving that seafood taste, this was exactly what I was looking for. The kids even liked them. Definitely will buy again. [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"Kari D.,",04-Feb-20,"I received the sea salt organic seaweed snacks. My girls love seaweed snacks and these were such a positive experience for them to try this brand by Ocean's Halo. I really appreciate that they are non-GMO as well. My girls eat these just as they are out of the package. I had mentioned the other flavors to them and they are interested in trying them all. They really enjoyed the taste of the sea salt and didn't feel as if these snacks were over salted and that had a nice crunch to them and tasted very fresh. I did taste part of one, but seaweed is not a favorite of mine. My girls however eat these several times a week and will continue to get them.#trynatural #gotitfree [This review was collected as part of a promotion.]"
4,Organic Seaweed Snacks Review,"Tina A.,",19-Jan-20,"Crisp and Flavorful! I tried Sea Salt, Bacon, and Wasabi flavors. The flavors were evident and it remained fresh. Perfect for on the go, because it is light and mess-free. The health benefits are definitely a plus! [This review was collected as part of a promotion.]"
3,Organic Seaweed Snacks Review,"lorraine S.,",03-Mar-20,These were ok. I am not used to eating something like this. I see myself buying these for special occasions or to add to a meal or something of that nature. Maybe I should try all flavors because I can pair up to other foods options easier? [This review was collected as part of a promotion.]
3,Organic Seaweed Snacks Review,"Nicolette W.,",22-Dec-19,"I normally purchase another brand of seaweed snacks and was very open to trying another brand. I tried the sea salt kind since that is the kind I get when I but the other brand I normally eat. I found Halo's Ocean to be too salty for my liking and I could not even eat an entire pack. They had the same overall flavor, but extremely salty. I would only get them if I had a coupon or they are out of my normal brand, even though they are cheaper. [This review was collected as part of a promotion.]"
3,Organic Seaweed Snacks Review,"Dawn A.,",03-Feb-20,okay i tried these and i thought i would like them but i truly didnt like the taste so i let my oldest son try it and he was like oh god no mom i told him it was like a chip and was healthier but he just didnt like the taste either [This review was collected as part of a promotion.]
5,Organic Seaweed Snacks Review,"EB B.,",16-Jan-20,These seaweed snacks are delicious. I wanted a snack that was light and tasty and these were just the right ones. They are fresh and holds its flavor. I like that they have different flavors so I don't get tired of one flavor. I would definitely buy these. [This review was collected as part of a promotion.]
2,Organic Seaweed Snacks Review,"Hannah W.,",16-Dec-19,"I've never tried seaweed before, so i wasn't really sure what to expect with these snacks. I wasn't a fan, especially of the overwhelming salty fish taste. Someone who likes seaweed tried it though and he liked it! [This review was collected as part of a promotion.]"
4,Organic Seaweed Snacks Review,"Guadalupe C.,",18-Jan-20,"It was good, never had I tried before, but would definitely consider soon. All this healthy foods, grab my attention, but sometimes defrauded me, with their taste. This was not an exception, I would recommend, no doubt. [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"Ashlyn W.,",12-Dec-19,"The wasabi seaweed snacks were so delicious I had eaten them in minutes & was sad when they were gone! Super healthy, and a great price, I would definitely consider purchasing them again. I want to try all the flavors! [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"Vivian Y.,",29-Jan-20,"I'm Asian and my parents always have seaweed packs and seaweed seasoning on the table, so usually eat with rice. But normally I have the seaweed pack only with salt, never see so many flavor, this time I tried Korean BBQ and it was amazing, I can eat it with rice or just on seaweed as a snack, I will definitely buy again and maybe different flavor too [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"Kris L.,",12-Dec-19,"Oh geez these things are addictive. As an Aisian-American not near any of my ethnic grocery stores I am so happy to know these Ocean's Halo seaweed packs can be found at the health food stores near me! They are totally what I expected - sweet, salty, crunchy, light, delicious! [This review was collected as part of a promotion.]"
4,Organic Seaweed Snacks Review,"mary J.,",30-Dec-19,"I tried the Sea Salt snacks were pretty good. Texture is a little different than I expected. I love all the health and nutritional benefits that they provide. Not my first choice for a snack, but definitely one I will incorporate into my diet. I am interested in trying some of the other flavors as well. [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"Kayla S.,",23-Jan-20,I liked the sea salt and wasabi flavors. I usually end up getting these flavors in a different brand as well as when I buy dried edamame as snacks. The great thing about these as they are low cal and also organic. [This review was collected as part of a promotion.]
5,Organic Seaweed Snacks Review,"Jeneen R.,",26-Jan-20,"I tried the Wasabi, Sriracha, Korean BBQ and Maui Onion flavors. I tried them with my daughter and we both enjoyed all four varieties. My favorite was the Sriracha and next, the Korean BBQ. I tend to like spicy and sweet flavors together and those flavors really nailed it for me. My daughter's favorite was the Maui Onion flavor. She always enjoys a good onion flavor and these snacks definitely delivered the perfect amount. We both liked that there was plenty of seasoning on all of the flavors and that the seaweed sheets were nice and crunchy and fresh tasting. I would definitely recommend these to anyone who enjoys seaweed snacks. I would love it even more if there were more per individual package because they were gone so fast! [This review was collected as part of a promotion.]"
4,Organic Seaweed Snacks Review,"Nikki K.,",17-Feb-20,"Nice salty, crispy flavor, didn't know what to expect as it was my 1st try but I'm impressed. I'm not sure I would buy the sea salt flavor as I believe one of the more flavored varieties would suit my family better [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"Kathy S.,",22-Dec-19,"I loved the light, crispy texture. Thin, flavorful snack-size sheets .. with the perfect amount of salt added to bring out the flavor. A healthy (organic) snack, with only 3 ingredients: Organic Seaweed, Organic Safflower and/or Sunflower Oil. Sea Salt. [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"Julia K.,",01-Feb-20,This product was delicious and flavorful. I really enjoy seaweed as a healthy snack and am always curious to try new flavors and brands. I would definitely buy these again and highly recommend them for anyone looking for a yummy and healthy snack. [This review was collected as part of a promotion.]
5,Organic Seaweed Snacks Review,"Kate B.,",11-Dec-19,I'm so glad to have tried Ocean's Halo seaweed snack sheets. They are such a delicious little pick-me-up! I know my husband and kids are getting a healthy non-Gmo snack that will give them healthy natural energy. [This review was collected as part of a promotion.]
4,Organic Seaweed Snacks Review,"Karina P.,",18-Jan-20,It's a really new one concept! Soo healthy as I wished and for me this is a great choice if you like a healthier snack. It's a really good starting before gym time. I think you have to go and grab it! [This review was collected as part of a promotion.]
4,Organic Seaweed Snacks Review,"Jessica P.,",12-Jan-20,Honestly wasn't sure how I felt about a sea weed snack but after trying oceans halo I was shocked at how much I loved them! I tried the Korean bbq and it honestly tasted better then most regular chips I've tried definitely will be buying more. [This review was collected as part of a promotion.]
4,Organic Seaweed Snacks Review,"Shanta M.,",12-Feb-20,I received this product to review. I normally do not care for seaweed snacks but decided to give this a try and to my surprise it was good. I had the chili lime flavor and it was good. No aftertaste . And would definitely recommend to my friends. [This review was collected as part of a promotion.]
4,Organic Seaweed Snacks Review,"Maryn G.,",26-Jan-20,"Yummy! Good salty flavor; perfect ratio of salt to seaweed. Helped satisfy my salty cravings without making me feel overly full. However, it is not a very filling snack. Still, it is tasty and healthy! The serving size is perfect for a satisfying bite, and easy to bring on the go. Also, it's organic, which is huge for me. Overall, definitely a fan! The array of flavors is something that really sets Ocean's Halo apart from the rest. Excited to try them all. [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"Jonia T.,",16-Feb-20,"I got a few of broths at my local store. My family and I are committed to a healthy lifestyle and eating is a key part of healthy living, so the ingredients and trust in the brand are of paramount importance to me. I appreciate the care that the company took in selecting the ingredients carefully to ensure the highest quality and safety. Please keep up the good work! [This review was collected as part of a promotion.]"
4,Organic Seaweed Snacks Review,"Jamie S.,",27-Dec-19,"This is a great product!! My 8-year-old absolutely loves the seaweed snacks. So much healthier than chips or sugar-based products. The came right away after I signed up. So the customer service rating is 5 stars so far!! When I opened the package I did not get the bombardment of the seaweed smell... It was very subtle. I didn't try them myself, but my little girl enjoyed them. We opted for the regular Sea Salt variety which is her favorite. I would be interested in buying other flavors to broaden her range a bit. Overall, It was a pleasant experience working with the website and relatively painless!! [This review was collected as part of a promotion.]"
4,Organic Seaweed Snacks Review,"Becky B.,",03-Feb-20,"I love the packaging size for this snack. We eat seaweed primarily with fried rice- no utensils to clean up, lol. But this was the perfect size for n the go snacking. Sea salt was a hit for sure and my boys are looking forward to trying more flavors. [This review was collected as part of a promotion.]"
4,Organic Seaweed Snacks Review,"MELANIE C.,",03-Feb-20,"I love the idea but I think that I'm too much of a meat eater. I tried this because I always want to give everything I'm not familiar with a chance. Unfortunately, it just wasn't my cup of seaweed, so to speak. I do really appreciate the opportunity to try it out though and would be happy for any other varieties you may come out with. [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"Marjean G.,",05-Feb-20,"It was beyond DELICIOUS, I would recommend to everyone! The ingredients were done to perfection. Natural is top priority in this family, and this delivered. We have since purchased this fantastic item! [This review was collected as part of a promotion.]"
3,Organic Seaweed Snacks Review,"Stefanie P.,",08-Jan-20,Me and my family tried the sea salt flavor of the Organic Seaweed Snacks. It was definitely something different and something we were a bit nervoys to try however it wasnt that bad. It was a bit too salty though. My sons didnt really like them and I dont believe they would be very filling for growing childrwn. I do however think if you are on some sort of weight loss regimen that these snacks may be a good snack to keep around. I woild recommend to friends and family. #trynatural #gotitfree [This review was collected as part of a promotion.]
5,Organic Seaweed Snacks Review,"Jazmin V.,",26-Feb-20,"Healthy snack and very delicious. I have been snacking on these for the past few months now and so far my favorite flavor has been the sea salt. Also love being organic and compostable packaging. Grear product, definitely worth trying. [This review was collected as part of a promotion.]"
3,Organic Seaweed Snacks Review,"Jennifer M.,",03-Mar-20,"These were VERY salty. The flavor was good but we couldn't eat more than a few at a time. The seaweed had a great texture, which most of these products do, but man .... I wasn't sure I was going to make it out with both of my kidneys. [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"Natalie H.,",14-Jan-20,My son is a big fan of seaweed snacks in general so I was excited to try a new brand and different flavors. He tells me that these are the best out of all the kinds that he's tried. [This review was collected as part of a promotion.]
5,Organic Seaweed Snacks Review,"Michaela W.,",13-Dec-19,"Tasted just like our favorite seaweed that we bought in the past. Liked the single serving packaging, convenient for taking for lunches and on the go! [This review was collected as part of a promotion.]"
4,Organic Seaweed Snacks Review,"Michelle J.,",26-Jan-20,Very interesting product. I was very Skeptical whether I was going to like the product or not. I was very surprised that it tasted is as good as it did. [This review was collected as part of a promotion.]
4,Organic Seaweed Snacks Review,"Katrina H.,",27-Dec-19,"Great! Love the variety of flavors. I wish they were shelved with all of the other seaweed at my local store though, I had to go hunting for them! [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"ailee W.,",14-Jan-20,"I loved these and will be getting them way more often!! I was scared at first to try the Chili Lime flavoring, but now i'm excited to try the other flavors like (Korean BBQ or Maui Onion) [This review was collected as part of a promotion.]"
3,Organic Seaweed Snacks Review,"Fardos K.,",22-Dec-19,It's not a product I would purchase or use again. I didn't care for the flavor or texture. It was an experience but not that I would want to repeat. [This review was collected as part of a promotion.]
5,love this snack.,"maria,",11-Mar-20,"i didn't expect to like seaweed snack, this doesn't smell bad and has the perfect amount of salt taste to it. i think i am starting to be addicted to them!"
5,Organic Seaweed Snacks Review,"Rebecca D.,",19-Dec-19,This snack is amazing. They taste great and are in convenient per person sized quantities. We tried sea salt and wasabi. We will definitely be buying these on a regular basis!! [This review was collected as part of a promotion.]
3,Organic Seaweed Snacks Review,"Christina D.,",04-Mar-20,I waz happy with the Free Product. The taste waa bland and I couldn't get my kids to try them. Seema a bit on the higher end of pricing as well. [This review was collected as part of a promotion.]
5,Organic Seaweed Snacks Review,"Sally G.,",11-Feb-20,My family loved them especially my teenage daughter. She is a vegetarian and these were a great option for her! Very flavorful and just yummy. [This review was collected as part of a promotion.]
4,Organic Seaweed Snacks Review,"Natasha M.,",26-Dec-19,They tasted pretty good by themselves as wells as on crackers. They were a hit for my daughter as well. Sea salt is our favorite versus the orhers [This review was collected as part of a promotion.]
3,Organic Seaweed Snacks Review,"Tracie-Ann D.,",11-Feb-20,It was ok not really my thing I didn't enjoy it but my sister tried it and loved it I think you need to just like the taste and texture of it this product to really enjoy it [This review was collected as part of a promotion.]
5,Organic Seaweed Snacks Review,"Debora S.,",16-Jan-20,YUMMY!! I used it for a party and the response to them were amazing. I was asked where I purchased so others could try other flavors. I will definitely be picking up more. [This review was collected as part of a promotion.]
4,Organic Seaweed Snacks Review,"Natalie Z.,",23-Jan-20,I thought these were good. Seem to be healthy and enjoyable. Would recommend this to friends. They had a satisfying crunch and the perfect amount of salt to flavor deliciously. [This review was collected as part of a promotion.]
5,Organic Seaweed Snacks Review,"Sophia H.,",14-Jan-20,Amazing! I never knew that seaweed snacks could taste different from each other but this one was amazing and exceeded my expectations! I can't wait to buy more. [This review was collected as part of a promotion.]
5,Organic Seaweed Snacks Review,"Ashley R.,",17-Feb-20,"Great flavor and good for eating on the go. These are healthy snacks that aren't too strong in flavor (aren't overly seaweedy), but great tasting. Low in calories, but high in nutrients. [This review was collected as part of a promotion.]"
3,Organic Seaweed Snacks Review,"georgia S.,",24-Jan-20,Did not like this product did not enjoy the taste there was also too much sodium in this product. It's just not something that I would purchase [This review was collected as part of a promotion.]
5,Organic Seaweed Snacks Review,"Tammy M.,",31-Jan-20,They were so good I really liked them I would recommend them to anyone try it ..... you'll like it so good I want to try other flavor as well [This review was collected as part of a promotion.]
5,Organic Seaweed Snacks Review,"Lao P.,",09-Jan-20,I love to eat this with sushi rice. I love how it melts fast .I love the spicy flavor ones. I will keep purchased it. I really love this. Thanks for social nature. [This review was collected as part of a promotion.]
4,Organic Seaweed Snacks Review,"Delia B.,",19-Feb-20,This was delicious and yummy nice and crisp and salty they hit the spot just like chips but a healthier and more natural option. And get portion control. [This review was collected as part of a promotion.]
5,Organic Seaweed Snacks Review,"Jo-Ann H.,",05-Feb-20,"Love this natural snack. Tasty, easy to bring along. Healthy snack for children. Have told my family and friends all about it. Everybody should try it. [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"Beth M.,",08-Jan-20,"These are great, no guilt, snacks!! I love that they are organic! I grab them when I want a quick, healthy snack between meals. The wasabi flavor has just the right amount of ""kick""! ðŸ' [This review was collected as part of a promotion.]"
1,Organic Seaweed Snacks Review,"Ashley F.,",24-Jan-20,I wasn't a big fan I really didnt like the flavor at all. I also don't like sea weed so that could also be the problem if you like seaweed you might actually like this [This review was collected as part of a promotion.]
1,Organic Seaweed Snacks Review,"Brenda B.,",19-Jan-20,I did not like the taste and the texture of the Seaweed snacks. It tasted fishy. I have liked the other Oceans Halo products that I have tried [This review was collected as part of a promotion.]
3,Organic Seaweed Snacks Review,"Carol B.,",10-Jan-20,I liked how the product tasted. The variety and flavors of the products are great! I will most likely try the other variety of products available. [This review was collected as part of a promotion.]
2,Organic Seaweed Snacks Review,"Patricia D.,",21-Feb-20,"I did not enjoy the taste or texture of this product so I do not recommend this product. It is on the pricy side also, and kind of hard to find in the store [This review was collected as part of a promotion.]"
4,Organic Seaweed Snacks Review,"Vanessa W.,",18-Dec-19,I really liked the different flavors and the amount of salt. I felt that they were very crispy and had an amazing flavor. I really thought they were going to be too salty but they were delicious [This review was collected as part of a promotion.]
5,Organic Seaweed Snacks Review,"Susan S.,",13-Feb-20,"Taste great and convenient healthy snack. My Kids eat these all the time. They are a bit expensive when they kids want to eat them daily or more, but they do love them. [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"Am H.,",22-Feb-20,This is my first experience with this type of product and I loved it! Surprisingly my husband likes it a lot too. I will buy these products again. [This review was collected as part of a promotion.]
4,Organic Seaweed Snacks Review,"Mark B.,",22-Jan-20,Used this product plain and had a good taste. As a seaweed lover I enjoyed the taste and texture. Merchandiser does not have alot of Ocean Halo products but hope they will soon. [This review was collected as part of a promotion.]
4,Organic Seaweed Snacks Review,"Malina B.,",12-Jan-20,I got mine in Jacksonville flI loved it Want sure at firstThe color really got me Didn't look inviting But i was fooled I loved it Will but it again [This review was collected as part of a promotion.]
4,Organic Seaweed Snacks Review,"Charles F.,",22-Dec-19,"I have always liked the taste of seaweed. The flavor was very interesting. As an occasional treat, it's great. I wish the package was bigger. [This review was collected as part of a promotion.]"
4,Organic Seaweed Snacks Review,"Reysel Ann L.,",08-Feb-20,"I really love the sea salt Halo's seaweeds snacks!!! For me, it's really a healthy snack and perfect for people who diets. I will definitely purchase again. [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"Jamie G.,",24-Jan-20,OMG! My only complaint about these snacks is that I eat an entire pack in one sitting. They are such a satisfying snack with just enough flavor and crispness. Yummy! [This review was collected as part of a promotion.]
5,Organic Seaweed Snacks Review,"Laurie W.,",11-Jan-20,If your looking for a healthy alternative snack youv'e got to try ocean's halo's seaweed snack. It has the perfect crunch in every bite and a perfect topper for salads. [This review was collected as part of a promotion.]
5,Organic Seaweed Snacks Review,"Stephany W.,",01-Jan-20,Delicious and good for you! I loved trying out the sea salt 4 pack. I will be definitely buy this again. My family loved this as well. Great snack to have on the go too! [This review was collected as part of a promotion.]
3,Organic Seaweed Snacks Review,"Wen L.,",01-Feb-20,"I thought flavor-wise it was pretty average. I like how it's organic, but it could have had more in terms of flavor. Cost isn't too bad, but I'm not sure if I would buy them on my own time. [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"Joseph P.,",23-Jan-20,"Awesome product ! , great taste , healthy snack , great for on-the-go snacks , great as a supplement to meals , easy to find in stores , many flavors to choose from [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"Amy L.,",09-Jan-20,I finally learned to make sushi and the the wasabi sheets were perfect amount of taste and texture. I have bought several flavors since and have not been disappointed by any of them!! [This review was collected as part of a promotion.]
4,Organic Seaweed Snacks Review,"Elizabeth C.,",12-Jan-20,I tried the chili lime which had a nice taste to it. I liked the heavy hitting round of vitamins for snack time. I would buy this product again as I am excited to try the rest of the flavors. [This review was collected as part of a promotion.]
4,Organic Seaweed Snacks Review,"Nellie T.,",11-Dec-19,Good seaweed snack! Delicious! Tough to find Ocean Halo brand at any major retailers at the time of purchasing but now I see it everywhere on the shelves :) [This review was collected as part of a promotion.]
5,Organic Seaweed Snacks Review,"Sandy D.,",28-Dec-19,"These snacks are light, really tasty, and it does not cost a lot. I've recommended these to my friends and family. Just a hint of salt. But these wonderful snacks at your local store. [This review was collected as part of a promotion.]"
3,Organic Seaweed Snacks Review,"larissa H.,",11-Dec-19,I tried the sea salt flavor and it tasted very similar to tortilla chips. I'm not sure why but I expected it to be sweeter. I also didn't like the after taste which is kinda like dirt. [This review was collected as part of a promotion.]
3,Organic Seaweed Snacks Review,"Mya T.,",20-Jan-20,The Thai coconut milk curry was my favorite. It was easy and quick to make. It taste just like the restaurant. I didn't like the ramen noodle beowl. it was too dry for my taste. [This review was collected as part of a promotion.]
4,Organic Seaweed Snacks Review,"pooja R.,",28-Dec-19,I bought the noodles in the organic section and they don't seem to stick to one another.. it is thin and the flavors are locked in the package.. [This review was collected as part of a promotion.]
5,Organic Seaweed Snacks Review,"Laura C.,",22-Jan-20,I tried the Ocean's Halo's seaweed snack in Korean BBQ it was very good loved the taste. Definitely a great snack for me my fried I shared it with loved it to and she is not a fan of seaweed [This review was collected as part of a promotion.]
4,Organic Seaweed Snacks Review,"Nicole M.,",14-Jan-20,"I didn't think I would like this but I LOVED IT!! Have purchased a couple more times and definitely recommend!! Great flavor, no strange aftertaste and I recommend the noodle bowls too! [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"Melinda W.,",20-Feb-20,"I keep these in my cabinet in my kitchen. We love these. The kids even take them to school. Thank you for letting myself, friends and family try the Ocean's Halo!!! [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"Sienna C.,",03-Mar-20,This brand was hard for me to find in my city but the few items I was able to find were pretty good! I loved the seaweed but the noodle bowls were a little bland for my taste. [This review was collected as part of a promotion.]
5,Organic Seaweed Snacks Review,"andrea P.,",23-Jan-20,The flavor was there but not to overwhelming. There was a salty crispness that was divine. It was the perfect snack during the day to help prevent the mid afternoon slump. [This review was collected as part of a promotion.]
2,Organic Seaweed Snacks Review,"michael L.,",22-Jan-20,"It has a good crunch, not too salty with enough wasabi flavor. It was good as a snack it self or on top of rice. Good flavor. Going to try different one [This review was collected as part of a promotion.]"
5,Organic Seaweed Snacks Review,"Natalia G.,",05-Feb-20,My kids love this!!! Awesome flavor! We try the Sea Salt Flavor and love it. Like the size of the product perfect for snacks at school or work. Also love that is a healthy choice for my family. [This review was collected as part of a promotion.]
